name,company_nmae,symbol,Listed_Shares,Paidup_Value,Total_Paidup
Capital,Global IME Capital Limited,GICL,0,0.00,0.00
Capital,BOK Capital Market Limited,BOKCML,0,0.00,0.00
Capital,NIMB Ace Capital Limited,NIMBCL,0,0.00,0.00
Commercial Banks,Agriculture Development Bank Limited,ADBL,"134,516,741",100.00,"13,187,915,800.00"
Commercial Banks,Citizen Bank International Limited,CZBIL,"142,009,741",100.00,"14,200,974,100.00"
Commercial Banks,Everest Bank Limited,EBL,"106,980,945",100.00,"10,698,094,500.00"
Commercial Banks,Global IME Bank Limited,GBIME,"357,710,597",100.00,"35,771,059,700.00"
Commercial Banks,Himalayan Bank Limited,HBL,"216,566,158",100.00,"14,006,223,872.00"
Commercial Banks,Kumari Bank Limited,KBL,"262,258,613",100.00,"26,225,861,300.00"
Commercial Banks,Machhapuchchhre Bank Limited,MBL,"102,571,556",100.00,"10,257,155,600.00"
Commercial Banks,Nabil Bank Limited,NABIL,"270,569,984",100.00,"27,056,996,352.00"
Commercial Banks,Nepal Bank Limited,NBL,"146,940,224",100.00,"4,000,000,000.00"
Commercial Banks,NIC Asia Bank Ltd.,NICA,"115,640,056",100.00,"11,564,005,600.00"
Commercial Banks,NMB Bank Limited,NMB,"183,667,060",100.00,"18,366,706,000.00"
Commercial Banks,Prime Commercial Bank Ltd.,PCBL,"194,025,760",100.00,"19,402,575,872.00"
Commercial Banks,Sanima Bank Limited,SANIMA,"124,601,152",100.00,"12,460,114,944.00"
Commercial Banks,Nepal SBI Bank Limited,SBI,"101,206,288",100.00,"10,120,629,248.00"
Commercial Banks,Siddhartha Bank Limited,SBL,"140,899,808",100.00,"14,089,979,904.00"
Commercial Banks,Standard Chartered Bank Limited,SCB,"94,294,539",100.00,"9,429,453,900.00"
Commercial Banks,Prabhu Bank Limited,PRVU,"135,347,696",100.00,"13,534,770,176.00"
Commercial Banks,Rastriya Banijya Bank Limited,RBB,0,0.00,0.00
Commercial Banks,Nepal Investment Mega Bank Limited,NIMB,"341,285,949",100.00,"34,128,594,900.00"
